-2,-6,14,-94658,-3,-129,-80099,0,-19
-3,0,23,-94658,-33,-134,-80100,0,-27
-2,385,46,-94659,-583,-146,-80100,-248,-62
1,1253,49,-94663,-1238,-154,-80104,-956,-81
8,1832,46,-94673,-1834,-166,-80111,-1631,-83
22,2141,41,-94689,-2797,-162,-80123,-2034,-79
81,2093,44,-94780,-3278,-145,-80182,-2093,-81
96,2182,44,-94807,-3245,-144,-80198,-2085,-85
113,2265,44,-94832,-3288,-139,-80213,-2010,-91
128,2040,52,-94857,-3190,-138,-80226,-1995,-100
146,2147,52,-94882,-3263,-138,-80239,-2005,-107
162,2158,50,-94906,-3074,-142,-80255,-1962,-121
177,2178,46,-94928,-3120,-143,-80269,-2020,-127
196,2068,50,-94950,-3045,-146,-80284,-1971,-137
212,2115,55,-94975,-3107,-147,-80300,-2064,-137
230,2137,50,-94999,-2888,-155,-80316,-1923,-155
244,2074,51,-95020,-2891,-158,-80328,-2018,-162
261,2094,48,-95044,-3122,-155,-80344,-1910,-177
279,2048,53,-95070,-2987,-159,-80361,-1988,-184
295,2087,56,-95095,-2961,-160,-80375,-2049,-184
307,2010,62,-95116,-3060,-158,-80388,-2060,-191
323,1966,66,-95141,-3080,-155,-80405,-2057,-197
338,2137,70,-95167,-3190,-152,-80422,-2047,-195
352,2195,65,-95190,-3220,-149,-80436,-2118,-200
370,2077,66,-95213,-3258,-150,-80454,-2196,-197
389,2281,58,-95238,-3117,-151,-80471,-2099,-191
410,2180,56,-95263,-3177,-150,-80488,-2159,-189
425,2054,55,-95284,-3148,-148,-80502,-2290,-180
442,2150,49,-95311,-3099,-151,-80519,-2200,-177
458,2032,56,-95334,-3216,-151,-80537,-2205,-171
474,2207,53,-95360,-3142,-149,-80554,-2120,-170
535,2062,65,-95459,-3118,-146,-80624,-2109,-130
548,2022,67,-95482,-3199,-142,-80639,-2184,-121
564,2066,62,-95506,-3105,-141,-80656,-2174,-106
580,2039,66,-95532,-3029,-139,-80675,-2003,-112
599,2032,64,-95555,-3015,-141,-80689,-1903,-105
614,2206,55,-95578,-3122,-139,-80703,-1953,-105
632,2105,60,-95603,-3016,-147,-80717,-1822,-104
650,2064,58,-95628,-2969,-146,-80733,-2045,-94
666,2119,57,-95649,-2974,-147,-80748,-1822,-99
684,2051,51,-95672,-2914,-152,-80762,-1935,-95
701,2285,36,-95698,-3216,-141,-80776,-1914,-94
718,2014,45,-95722,-3169,-143,-80791,-1709,-104
734,1978,48,-95744,-3229,-142,-80805,-1854,-104
751,2074,50,-95769,-3231,-143,-80820,-1804,-106
768,2050,38,-95794,-3291,-142,-80834,-1782,-110
785,2048,40,-95816,-3312,-137,-80846,-1826,-107
802,2066,46,-95842,-3223,-142,-80862,-1850,-119
817,1936,45,-95868,-3180,-142,-80876,-1740,-125
833,1912,51,-95892,-3244,-142,-80890,-1763,-124
844,2052,50,-95914,-3230,-141,-80903,-1775,-136
859,1929,63,-95940,-3094,-141,-80916,-1798,-142
872,1980,58,-95966,-3000,-147,-80931,-1741,-153
888,2015,59,-95991,-2994,-151,-80945,-1691,-158
903,2234,51,-96014,-3107,-146,-80957,-1716,-159
921,2173,60,-96039,-3241,-138,-80971,-1816,-163
987,2227,48,-96134,-3084,-140,-81025,-1826,-183
1004,2210,51,-96161,-3143,-134,-81041,-1824,-183
1019,2091,54,-96182,-3077,-141,-81055,-1969,-180
1037,2048,50,-96207,-3093,-140,-81070,-2005,-169
1055,2003,50,-96231,-3160,-140,-81086,-2046,-170
1071,1975,50,-96257,-3145,-138,-81101,-1901,-178
1086,2122,47,-96279,-3116,-141,-81115,-2020,-172
