count,hour,minute,second,msec,pos1,pos2,pos3,vel1,vel2,vel3,cur1,cur2,cur3
1,14,8,8,617,19.9999,-59.9908,-10.0031,0.0652313,-0.0363922,0,45,-121,7
2,14,8,8,622,20.0013,-59.9908,-10.0024,-0.00205994,-0.0384521,0,45,-120,5
3,14,8,8,627,20.0013,-59.9908,-10.0024,0.0178528,-0.0384521,0,45,-121,6
4,14,8,8,632,20.002,-59.9915,-10.0031,0.0604248,-0.032959,0,42,-122,7
5,14,8,8,637,20.002,-59.9908,-10.0031,0.0556183,-0.0480652,0,42,-122,7
6,14,8,8,642,20.0027,-59.9908,-10.0031,0,-0.0432587,0.00549316,41,-122,8
7,14,8,8,647,20.0034,-59.9915,-10.0031,0.0192261,-0.0521851,0,36,-122,10
8,14,8,8,652,20.0034,-59.9922,-10.0037,0,-0.042572,0,38,-122,11
9,14,8,8,657,20.0034,-59.9915,-10.0031,0.00823975,-0.0418854,0,36,-122,11
10,14,8,8,662,20.0034,-59.9929,-10.0024,-0.00686646,-0.0466919,0,36,-122,11
11,14,8,8,667,20.0027,-59.9929,-10.0031,0,-0.0466919,0,37,-122,11
12,14,8,8,672,20.0027,-59.9929,-10.0024,0,-0.0528717,0,38,-122,14
13,14,8,8,677,20.002,-59.9936,-10.0031,0.0130463,-0.0233459,0,34,-123,14
14,14,8,8,682,20.002,-59.9936,-10.0037,-0.0391388,-0.0418854,0,41,-123,14
15,14,8,8,687,20.002,-59.9929,-10.0031,0.0521851,-0.0343323,0,33,-123,15
16,14,8,8,692,20.002,-59.9929,-10.0031,0.0219727,-0.0370789,0,32,-123,15
17,14,8,8,697,20.0013,-59.9943,-10.0024,0,-0.042572,0,38,-122,16
18,14,8,8,702,20.0013,-59.9936,-10.0024,0,-0.032959,0,36,-124,17
19,14,8,8,707,20.0013,-59.9936,-10.0031,0,-0.0315857,0,38,-124,18
20,14,8,8,712,20.0006,-59.9936,-10.0031,0,0.00137329,0,38,-125,19
21,14,8,8,717,20.0006,-59.9943,-10.0031,0,-0.0233459,0.0707245,38,-123,15
