count,hour,minute,second,msec,pos1,pos2,pos3,vel1,vel2,vel3,cur1,cur2,cur3
1,11,59,42,546,-2.02286,-68.4256,-20.2437,0,-0.0439453,0,26,-132,4
2,11,59,42,551,-2.02217,-68.4263,-20.2444,0,-0.0144196,0,26,-133,5
3,11,59,42,556,-2.02217,-68.4256,-20.2444,-0.00137329,-0.0350189,0,27,-133,6
4,11,59,42,561,-2.02217,-68.4263,-20.2444,0,-0.0418854,0,25,-134,6
5,11,59,42,566,-2.02217,-68.4263,-20.2444,0,-0.0432587,0,25,-134,7
6,11,59,42,571,-2.02217,-68.427,-20.2444,0,-0.0604248,-0.0205994,26,-133,12
7,11,59,42,576,-2.02286,-68.427,-20.2451,0.00961304,-0.054245,0,26,-133,8
8,11,59,42,581,-2.02217,-68.4277,-20.2444,0,-0.0741577,0,25,-133,9
9,11,59,42,585,-2.02217,-68.4283,-20.2437,0,-0.0645447,0,25,-133,9
10,11,59,42,590,-2.02217,-68.4283,-20.2444,0,-0.0590515,0,28,-133,10
11,11,59,42,595,-2.02148,-68.4283,-20.2437,0,-0.0473785,0,27,-133,10
12,11,59,42,600,-2.02217,-68.429,-20.2451,0,-0.0453186,0,27,-133,12
13,11,59,42,605,-2.02217,-68.429,-20.2444,0,-0.0343323,0,26,-135,14
14,11,59,42,610,-2.02217,-68.429,-20.2444,0,-0.042572,0.0288391,27,-134,11
15,11,59,42,615,-2.02148,-68.4297,-20.2444,0,-0.0453186,-0.0267792,27,-133,18
16,11,59,42,620,-2.02217,-68.4297,-20.2444,0,-0.0432587,0.0411987,26,-135,12
17,11,59,42,625,-2.02217,-68.4297,-20.2444,0,-0.0384521,0,29,-135,16
18,11,59,42,630,-2.02217,-68.4297,-20.2444,0,-0.0281525,0,32,-135,16
19,11,59,42,635,-2.02286,-68.4297,-20.2444,-0.00549316,-0.0151062,0,27,-135,17
20,11,59,42,640,-2.02217,-68.4297,-20.2444,0,-0.0439453,0,28,-135,19
21,11,59,42,645,-2.02286,-68.4297,-20.2437,0,-0.0460052,0,27,-135,19
22,11,59,42,650,-2.02217,-68.4297,-20.2437,0,-0.0192261,0,29,-137,19
23,11,59,42,655,-2.02217,-68.4297,-20.2444,0,-0.0343323,0,29,-135,20
24,11,59,42,660,-2.02217,-68.4304,-20.2444,0,-0.042572,0,30,-136,21
25,11,59,42,665,-2.02217,-68.4297,-20.2437,0,-0.0370789,0,29,-138,22
26,11,59,42,670,-2.02286,-68.4304,-20.2444,0,-0.0398254,-0.042572,30,-136,22
27,11,59,42,675,-2.02286,-68.4311,-20.2444,0.000686646,-0.0384521,0,30,-136,22
28,11,59,42,680,-2.02286,-68.4311,-20.2444,-0.00137329,-0.0363922,0,30,-137,24
29,11,59,42,685,-2.02286,-68.4311,-20.2444,0,-0.0418854,0,32,-136,24
30,11,59,42,690,-2.02286,-68.4318,-20.2444,0,-0.042572,0,34,-136,26
31,11,59,42,695,-2.02217,-68.4318,-20.2437,0,-0.0411987,0,33,-135,25
32,11,59,42,700,-2.02217,-68.4318,-20.2444,0,-0.0377655,0,30,-136,27
33,11,59,42,705,-2.02217,-68.4318,-20.2444,0,-0.0315857,0,30,-136,27
34,11,59,42,710,-2.02148,-68.4325,-20.2444,0,-0.0343323,-0.0556183,34,-135,30
35,11,59,42,715,-2.02148,-68.4325,-20.2444,0,-0.00480652,0.0480652,30,-137,29
36,11,59,42,720,-2.0208,-68.4325,-20.2451,-0.000686646,-0.00137329,0,28,-137,30
37,11,59,42,726,-2.0208,-68.4318,-20.2444,0,-0.00480652,0,28,-136,30
38,11,59,42,731,-2.02011,-68.4318,-20.2444,0,-0.000686646,0,27,-138,31
39,11,59,42,736,-2.02011,-68.4318,-20.2444,0,-0.00274658,0,25,-138,30
40,11,59,42,741,-2.02011,-68.4318,-20.2444,0.0411987,-0.0466919,0,26,-137,32
41,11,59,42,771,-2.0208,-68.4325,-20.2437,0,-0.0137329,0,26,-138,36
42,11,59,42,772,-2.0208,-68.4325,-20.2437,0,-0.0260925,0,24,-136,36
43,11,59,42,772,-2.0208,-68.4332,-20.2444,0,-0.0260925,0,24,-136,36
44,11,59,42,772,-2.0208,-68.4332,-20.2444,0,-0.0260925,0,24,-136,36
45,11,59,42,772,-2.0208,-68.4332,-20.2444,0,-0.0260925,0,24,-136,36
46,11,59,42,772,-2.0208,-68.4332,-20.2444,0,-0.0260925,0,24,-136,36
47,11,59,42,776,-2.0208,-68.4332,-20.2437,0,-0.0439453,0,25,-137,36
48,11,59,42,781,-2.0208,-68.4332,-20.2437,0,-0.0384521,0,25,-137,38
49,11,59,42,786,-2.0208,-68.4325,-20.2444,0,-0.0466919,0,24,-136,38
50,11,59,42,791,-2.0208,-68.4338,-20.2437,0,-0.0178528,0,24,-136,40
51,11,59,42,796,-2.0208,-68.4338,-20.2444,0,0.00274658,0.044632,25,-137,35
52,11,59,42,801,-2.0208,-68.4332,-20.2444,0,-0.000686646,0.0418854,24,-138,35
53,11,59,42,806,-2.0208,-68.4338,-20.2437,0,-0.00480652,0.00961304,23,-138,34
54,11,59,42,811,-2.0208,-68.4338,-20.2444,0,0.00343323,-0.00137329,23,-138,41
55,11,59,42,816,-2.0208,-68.4332,-20.2444,0,0,0,23,-137,41
56,11,59,42,821,-2.0208,-68.4338,-20.2437,0,-0.000686646,0,23,-139,42
57,11,59,42,826,-2.0208,-68.4332,-20.2444,0,0,0,23,-138,42
58,11,59,42,831,-2.02011,-68.4338,-20.2437,0,0.000686646,0,21,-138,43
59,11,59,42,836,-2.02011,-68.4338,-20.2444,0,-0.0343323,0,22,-136,43
60,11,59,42,841,-2.0208,-68.4338,-20.2437,0,0,0,23,-139,44
61,11,59,42,846,-2.0208,-68.4338,-20.2437,0,-0.000686646,0,21,-139,44
62,11,59,42,851,-2.0208,-68.4338,-20.2444,0,0,0,21,-139,45
63,11,59,42,856,-2.02011,-68.4338,-20.2444,0,-0.00480652,0.00617981,20,-138,46
64,11,59,42,861,-2.0208,-68.4345,-20.2437,0,-0.0219727,-0.0487518,22,-139,50
65,11,59,42,866,-2.0208,-68.4345,-20.2437,0,-0.00480652,0.0398254,21,-136,42
66,11,59,42,871,-2.02148,-68.4352,-20.2444,0,0.00274658,0,22,-137,47
67,11,59,42,876,-2.02148,-68.4345,-20.2437,0,-0.00686646,0,19,-138,47
68,11,59,42,881,-2.02148,-68.4345,-20.2444,0,-0.0460052,0,22,-135,49
69,11,59,42,886,-2.0208,-68.4345,-20.2444,0,-0.0343323,0,21,-136,50
70,11,59,42,891,-2.02148,-68.4345,-20.2437,0,-0.0466919,0,20,-136,50
71,11,59,42,895,-2.0208,-68.4338,-20.2444,0,0,0,20,-139,52
72,11,59,42,900,-2.0208,-68.4345,-20.2437,0,-0.00137329,-0.00274658,21,-137,51
